QuestionID	QuestionText	BlockID	BlockText	Answer	N	Percentage
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Parliament/Congress	5	5.38
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Ministry of planning or development	22	23.66
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Ministry of economic affairs, industry or trade	11	11.83
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Australian Treasury	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Prime Minister, chancellor or President	20	21.51
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Ministry of Economic Development	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Cabinet or Council of Ministers	9	9.68
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Ministry of finance or comptroller general	11	11.83
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Ministry of Finance and Economic Development	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Consejo Directivo del INEC	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		the head of the NSO reports to the Ministry of economy and finances	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Ministry of the interior	2	2.15
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Minister of Prime Minister's Office	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		the Presidency of the Council of Ministers (artt.14 and 24 of statistical law)	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Head of the State Services	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Planning or development authority	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Generally to the Prime Minister (first answer) and to the Statistical Council as regards the annual program of statistical surveys of official statistics	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		To general public	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Ministry of Treasury and Finance	1	1.08
Q07.4 	Person/office within the government to whom the head of the NSO reports	R01		Heads of US statistical agencies usually report to their Department.	1	1.08
